TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
UTAMA;binting;;jinjing;;;
TURUNAN DARI: binting;bintingan;;kentongan, tas tangan (untuk belanja kepasar);;;
UTAMA;bir;;bir;;;
UTAMA;birah;;talas;;;
UTAMA;birangkang;;kangkang;;;
TURUNAN DARI: birangkang;babirangkang;;mengangkang;;jangan duduk babirangkang;jangan duduk mengangkang
TURUNAN DARI: birangkang;mambirangkangakan;;mengangkangkan (kaki);;;
UTAMA;birat;;;;;
TURUNAN DARI: birat;mambirat;;marah, merentak;;kanapa mambirat lawan urang;kenapa marah dengan orang
UTAMA;biri;;;;;
TURUNAN DARI: biri;biri-biri;;biri-biri;;;
UTAMA;biris;;(BH) beres;;;
UTAMA;biru;;biru;;;
UTAMA;biruang;;beruang;;;
UTAMA;birudu;;berudu (anak katak yang masih kecil);;;
UTAMA;birut;;(BH) benjot, miring sebelah (Iih berot);;;
UTAMA;bis;;bis, bus;;;
UTAMA;bisa;;pandai, bisa;;;
TURUNAN DARI: bisa;mambisai;;membujuk;;uma lagi mambisai ading;ibu sedang membujuk adik
TURUNAN DARI: bisa;kabisaan;;kepandaian, ilmu, pengetahuan;;;
UTAMA;bisi;;mempunyai;;;
UTAMA;bisik;;bisik;;;
TURUNAN DARI: bisik;babisik;;berbisik;;jangan babisik;jangan berbisik
UTAMA;bising;;bising;;;
UTAMA;biskuit;;biskuit;;;
UTAMA;biskup;;(BH) Iih beskop;;;
UTAMA;bisu;;bisu;;;
UTAMA;biuk;;;;;
TURUNAN DARI: biuk;babiuk;;sekaligus;;nukar babiuk nyaman kada ngalih lagi kena;membeli sekaligus supaya tidak sulit lagi nanti
UTAMA;biuku;;(sejenis) bulus;;;
UTAMA;biula;;(BH) biola;;;
UTAMA;bius;;jampi-jampi (untuk menidurkan) ;;rumah dinaiki maling yaitu kada tabangun, dibius nya soko;rumah dimasuki pencuri tidak terbangun, dijampi-jampi nya berangkali
UTAMA;blaju;;dayak;;urang blaju;orang dayak
UTAMA;bokor;;sejenis keranjang dari anyaman bambu;;;
UTAMA;bol;;;(BK) bola;main bol;main bola
UTAMA;bom;;pelabuhan;;manulakakan urang haji dibom;memberangkatkan orang pergi haji di pelabuhan
UTAMA;bon;;bon;;;
TURUNAN DARI: bon;mabon;;berhutang;;mabon aja dululah;berhutang saja dulu ya
UTAMA;bonel;;anting-anting;;;
UTAMA;bontel;;;;;
TURUNAN DARI: bontel;mambontel;;mengekor (ikut kemana saja);;;
UTAMA;botol;;botol;;;
UTAMA;boyang;;kartu;;kita baboyang;kita bermain kartu
UTAMA;buah;;buah;;buah jambu ;buah jambu
TURUNAN DARI: buah;babuah;;berbuah;;;
TURUNAN DARI: buah;sabuah;;sebelah (rumah);;urang sabuah;orang sebelah rumah
UTAMA;buak;;sejenis burung yang besar mata;;;
UTAMA;bual;;bual;;;
UTAMA;buang;;buang;;;
TURUNAN DARI: buang;babuang;;membuang;;babuang diri ;membuang diri
TURUNAN DARI: buang;babuangan;;terbuang-buang;;;
TURUNAN DARI: buang;mambuang;;membuang;;;
TURUNAN DARI: buang;tabuang;;terbuang;;;
TURUNAN DARI: buang;buang banyuan;;Iih banyu;;;
UTAMA;buar;;(BH) boros;;;
UTAMA;buas;;buas;;;
UTAMA;buat;;;;;
TURUNAN DARI: buat;babuat;;masuk (ke dalam);;;
TURUNAN DARI: buat;mambuati;;memasukkan, masuk (ke dalam);;;
TURUNAN DARI: buat;tabuat;;termasuk;;;
TURUNAN DARI: buat;diparbuat;;diteluh, dijampi-jampi (secara klenik);;;
UTAMA;bubar;;bubar;;;
UTAMA;bubu;;(sejenis alat penangkap ikan), warga, kelompok, famili;;bubu ikam kah;wargamu kah
UTAMA;bubuk;;bubuk;;;
UTAMA;bubul;;bobol, bocor;;jukung bubul;perahu bocor
UTAMA;bubur;;bubur;;;
UTAMA;buburih;;(BH) beboreh;;;
UTAMA;bubus;;berlobang, robek;;;
UTAMA;bubut;;nama sejenis burung pemakan ulat bulu;;;
UTAMA;budas;;melulu, percuma;;hilang budas duitku;hlang percuma uangku
UTAMA;budi;;budi;;;
UTAMA;buhau;;pembual, besar mulut;;;
UTAMA;buhir;;(hati) jahat, dengki;;buhir banar pahatiannya lah;jahat benar hatinya ya
UTAMA;buhul;;buhul;;;
UTAMA;buih;;buih;;;
UTAMA;bujal;;pusat besar, pusat menonjol;;;
UTAMA;bujang;;jejaka;;;
UTAMA;bujur;;lurus;;bujur nya buluh ni ;urus benar bambu ini
TURUNAN DARI: bujur;babujuran ;;benar-benar, sungguh-sungguh;;;
TURUNAN DARI: bujur;bujur-bujur;;sungguh-sungguh, jangan main-main;;;
TURUNAN DARI: bujur;bujur harus;;jujur;;;
UTAMA;buka;;buka;;;
TURUNAN DARI: buka;pabukaan;;makanan untuk buka puasa;;;
UTAMA;bukah;;lari;;;
TURUNAN DARI: bukah;babukahan;;berlari-larian;;jangan babukahan dijalan;jangan berlari-larian dijalanan
TURUNAN DARI: bukah;bukahan;;berlari;;;
UTAMA;bukat;;kental, keruh;;;
UTAMA;bukih;;lokek, pelit;;;
UTAMA;bukit;;bukit;;;
UTAMA;bukti;;bukti;;;
UTAMA;buku;;buku, kitab;;;
TURUNAN DARI: buku;babuku;;berbuku;;;
TURUNAN DARI: buku;sabukuan;;seluruhnya;;buruk sabukuan;busuk seluruhnya
TURUNAN DARI: buku;buku lali;;mata kaki;;;
TURUNAN DARI: buku;buku nasi;;butir-butir nasi;;;
UTAMA;bukur;;(BH) Iih bokor;;;
UTAMA;bukut;;;;;
TURUNAN DARI: bukut;mambukut;;api yang memakan bagian dalam, tidak terlihat dari luar misalnya api dalam sekam;;;
TURUNAN DARI: bukut;mambukut;;berdiam diri tidak mau nyahut;;;
UTAMA;bula;;(BH) bola;;;
TURUNAN DARI: bula;bula-bula ;;santan yang dimasak;;;
UTAMA;bulalak;;belalak (mata);;;
TURUNAN DARI: bulalak;mambulalak;;mendidih;;;
UTAMA;bulan;;bulan;;;
TURUNAN DARI: bulan;babulangan;;orang yang tidak waras ingatan pada saat-saat tertentu;;;
TURUNAN DARI: bulan;datang bulan;;datang haid;;;
TURUNAN DARI: bulan;parak bulan;;dekat masa melahirkan, hampir melahirkan;;;
UTAMA;bulanak;;belanak;;;
UTAMA;bulang;;(BH) Iih bolang;;;
UTAMA;bulangkar;;;;;
TURUNAN DARI: bulangkar;tabulangkir;;porak poranda;;;
UTAMA;bulantik;;mengambil untung (dalam dagang kecil-kecilan, membeli sesuatu lalu dijual lagi dengan mengambil keuntungan);;;
TURUNAN DARI: bulantik;pembulantikan ;;orang yang kerjanya membeli lalu segera menjual kembali;;;
UTAMA;bular;;bular (mata);;;
UTAMA;bulat;;bulat, bundar;;;
UTAMA;bulih;;boleh;;;
TURUNAN DARI: bulih;bulihi;;beroleh;;;
TURUNAN DARI: bulih;baulih;;beroleh;;;
UTAMA;bulik;;pulang, kembali;;;
TURUNAN DARI: bulik;babulik;;kembali (ketempat semula);;;
TURUNAN DARI: bulik;babulikan;;rujuk;;dua kali sarak, dua kali babulikan;dua kali cerai, dua kali rujuk
TURUNAN DARI: bulik;mambuliki;;mendatangi kembali;;;
TURUNAN DARI: bulik;tabulik;;kembali;;kanapa tabulik?;kenapa kembali?
UTAMA;bulirit;;tercecer;;;
UTAMA;bulu;;bulu;;;
UTAMA;bulus;;polos (tanpa kembang-kembang);;;
UTAMA;bumbu;;bumbu;;;
UTAMA;bumbunan;;ubun-ubun;;;
UTAMA;bumbung;;tabungan (dari bambu, tanah dan sebagainya);;;
UTAMA;bumi;;bumi;;;
UTAMA;buncah;;;;;
TURUNAN DARI: buncah;mambuncah;;melimpah, membludak;;habis minyak nang ditukar mambuncah sapanjang jalan;habis minyak yang dibeli melimpah disepanjang jalan
UTAMA;buncu;;sudut;;;
UTAMA;bundal;;(BH) bundel, berkas, bungkus;;;
UTAMA;bundung;;sejenis tumbuh-tumbuhan rawa;;;
UTAMA;bungah;;;;;
TURUNAN DARI: bungah;mambungah;;manja, bertingkah;;jangan mambungah ya;jangan bertingkah ya
UTAMA;bungas;;(BH) cantik, baik;;umai bungasnya anakku;aduh cantiknya anakku
UTAMA;bungkah;;umbi;;;
UTAMA;bungkal;;gumpal;;;
UTAMA;bungkalang;;sejenis bakul terbuat dari bambu, bagian bawah persegi atau bundar, atasnya bundar dan berbingkai;;;
UTAMA;bungkam;;bungkem, diam, tak bersuara;;;
TURUNAN DARI: bungkam;mambungkam;;memantrai sebagai seorang tak bisa berbicara;;;
UTAMA;bungkang;;bengkok;;;
UTAMA;bungkar;;bongkar;;;
UTAMA;bungkas;;bobol (akibat desakan yang kuat), bocor;;;
UTAMA;bungkuk;;bongkok;;;
UTAMA;bungkul;;sejenis parang;;;
UTAMA;bungkun;;;;;
TURUNAN DARI: bungkun;babungkun;;berbaring dengan berselimut;;;
UTAMA;bunglai;;sejenis jae;;;
UTAMA;bungsal;;keluar dari kulit atau pembungkus karena tekanan;;;
UTAMA;bungsu;;bungsu;;ini anakku nang pabungsunya;ini anakku yang paling bungsu
UTAMA;bungul;;bodoh;;;
TURUNAN DARI: bungul;babungulan;;sinting;;;
UTAMA;bungun;;;;;
TURUNAN DARI: bungun;mambungun;;menghadang, menanti;;;
UTAMA;bungur;;sejenis pohon yang berbunga indah;;;
UTAMA;bunil;;(BH) Iih bonel;;;
