TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
TURUNAN DARI: kukus;bakukus;;"v berkukus; berasap ";;;
UTAMA;kula;;n kerabat;;;
TURUNAN DARI: kula;bakula;;v berkerabat:;;kita bakula;kita berkerabat
UTAMA;kulacingan;;n ikan gabus kecil yang berukuran kurang lebih seperti jari ;;;
UTAMA;kulat;;n jamur ;;;
TURUNAN DARI: kulat;bakulat ;;v berjamur:;;wadainya sudah bakulat, kada kawa lagi dimakan, ;kuenya sudah berjamur, tidak bisa lagi dimakan
UTAMA;kulawarga;;n keluarga;;;
TURUNAN DARI: kulawarga;sakulawargaan;;n seluruh keluarga;;;
UTAMA;kuliat;;n geliat ;;;
TURUNAN DARI: kuliat;manguliat;;menggeliat:;; ading manguliat bangun guring,;adik menggeliat bangun dari tidur
UTAMA;kulibi;;;;;
TURUNAN DARI: kulibi;mangulibii;;mencibir;;;
UTAMA;kulikar;;roda sepeda;;;
UTAMA;kulim;;n dalih;;;
TURUNAN DARI: kulim;bakulim;;v berdalih;;;
UTAMA;kulimbit;; n kulit;;;
UTAMA;kuling;;n geleng;;;
TURUNAN DARI: kuling;bakuling;;"v bergeleng; menggeleng";;ading bakuling ditawari makan;adik menggeleng diajak makan
UTAMA;kulir;;a malas;;;
TURUNAN DARI: kulir;pangulir;;n pemalas ;;;
UTAMA;kumarau;;a kemarau;;;
UTAMA;kumpa;;v cak pompa;;kumpa ban sapida ikam nang kimpis ngitu;pompa ban sepedamu yang kempis itu
TURUNAN DARI: kumpa;mangumpa;;v memompa;;inya mangupa ban sapidanya nang kimpis;ia memompa ban sepedanya yang kempis
TURUNAN DARI: kumpa;kumpaan;;n alat untuk memompa;;;
UTAMA;kunat;;n parut (bekas luka pada kulit) ;;;
UTAMA;kunyung;;v renang;;;
UTAMA;kupala;;n kepala ;;;
TURUNAN DARI: kupala;bakupala;;v berkepala;;lalakian ngitu bakupala gundul;laki-laki itu berkepala botak
UTAMA;kupas;;v kupas:;;kupas mangga lalu dimakan;kupas mangga lalu dimakan
TURUNAN DARI: kupas;bakupas;;v sudah dikupas:;;gumbili bakupas dijarang sampai mamak,;singkong yang sudah dikupas direbus sampai empuk
TURUNAN DARI: kupas;mangupas;; v mengupas;;inya lagi mangupas bawang;ia sedang mengupas bawang
TURUNAN DARI: kupas;takupas;;v tidak sengaja mengupas;;mangga ampunnya takupasku;mangga miliknya tidak sengaja kukupas
UTAMA;kupi;;n kopi;;;
UTAMA;kupiah;;n kopiah ;;;
TURUNAN DARI: kupiah;bakupiah;;v berkopiah:;;abahku bakupiah putih;ayahku berkopiah putih
UTAMA;kupung;; a terlalu pendek (tentang poni) ;;;
UTAMA;kuriak;;n teriak ;;;
TURUNAN DARI: kuriak;bakuriak ;;v berteriak;;inya bakuriak mangiyau kawannya;ia berteriak memanggil temannya
TURUNAN DARI: kuriak;kuriakan;;v cak pada berteriak:;;kakanakan abut banar kuriakan di halaman,;anakanak gaduh sekali pada berteriak di halaman
UTAMA;kuriding;;n alat musik kuriding;;;
UTAMA;kurihing;;n senyum;;;
TURUNAN DARI: kurihing;bakurihingan;;v saling tersenyum ;;;
TURUNAN DARI: kurihing;mangurihingi ;;v tersenyum kepada:;;inya mangurihingiku,;ia tersenyum kepadaku
TURUNAN DARI: kurihing;pangurihingan;;a suka tersenyum:;; inya tu pangurihingan banar;ia itu suka sekali tersenyum
TURUNAN DARI: kurihing;takurihing;; v tersenyum;;;
TURUNAN DARI: kurihing;kurihingan;;v cak pada tersenyum:;;kurihingan buhannya malihat kalakuan ikam, ;pada tersenyum mereka melihat kelakuanmu
UTAMA;kurinah;;v jelas;;kurinah bakurus awaknya imbah garing, j; jelas bertambah kurus badannya setelah sakit
TURUNAN DARI: kurinah;bakurinah;;bersengaja:;;uma bakurinah singgah ka rumah acil,;ibu bersengaja mampir ke rumah bibi
UTAMA;kurup;;a redup;;kurup banar lampunya,;redup sekali lampunya
UTAMA;kurus;;a kurus;;awaknya kurung lantaran jarang makan;badannya kurus karena jarang makan
TURUNAN DARI: kurus;bakurus;;" a mengurus; menjadi kurus; bertambah kurus";;awaknya bakurus imbah garing,;badannya mengurus setelah sakit
TURUNAN DARI: kurus;mangurusakan;;menguruskan;;inya handak banar mangurusakan awaknya; ia ingin sekali menguruskan badannya
TURUNAN DARI: kurus;mangurusi;;menguruskan;;aku handak mangurusi awakku;aku ingin menguruskan badanku
TURUNAN DARI: kurus;pangurusnya;;a paling kurus:;;awaknya pangurusnya dibanding kakawanannya;badannya paling kurus dibanding teman-temannya
TURUNAN DARI: kurus;kakurusan;;a terlalu kurus;; awak ikam kakurusan mun kawa lamaki sadikit,;badanmu terlalu kurus, kalau bisa gemukkan sedikit
UTAMA;kutak;;n kotak;;;
UTAMA;kutap;;n kecapi (nama buah);;;
UTAMA;kutung;;a buntung ;;;
UTAMA;kuyak;;v kupas:;;kuyak buah ngitu lawan lading, ; kupas buah itu dengan pisau
TURUNAN DARI: kuyak;manguyak ;;v mengupas ;; inya mangupas bilungka lawan lading;ia mengupas mentimun dengan pisau
TURUNAN DARI: kuyak;kuyakakan;;a mudah dilepas daging buahnya (tentang rambutan);;rambutan antalagi karancakannya kuyakan;rambutan antalagi biasanya mudah dilepas daging buahnya
UTAMA;labang;;v cak jemur (tentang padi):;;labang banih wayahini tampulu harinya panas,; jemur padi sekarang mumpung harinya panas
TURUNAN DARI: labang;balabang;;v sudah dijemur (tentang padi):;;banih balabang dibuat kada dalam karung; gabah yang sudah dijemur dimasukkan ke dalam karung
TURUNAN DARI: labang;malabang;;v menjemur padi;;abah malabang banih;ayah menjemur gabah
UTAMA;labat;;a lebat ;;;
TURUNAN DARI: labat;balabat;;" v menjadi lebat; bertambah lebat";;;
UTAMA;lacak;;;;;
TURUNAN DARI: lacak;malacak;;v menanam semaian padi di lahan yang telah disiapkan;;;
TURUNAN DARI: lacak;lacakan;;n tanaman semaian padi ;;;
UTAMA;ladar;;a hangat:;;awak pina ladar;badan serasa hangat
UTAMA;lading;;pisau ;Nomina (Kata Benda);;
UTAMA;ladum;;;;;
TURUNAN DARI: ladum; maladum;;v meletus;;ban sapidanya maladum;ban sepedanya meletus
TURUNAN DARI: ladum;laduman;;n petasan;;laduman itu buntat,;petasan itu tidak berbunyi
UTAMA;lais;;n lais (nama ikan);;;
UTAMA;macal;;a nakal:;;kekanakan macal nitu dimuari urang, ;anak-anak nakal itu dibenci orang
UTAMA;madihin;;n madihin ;;;
TURUNAN DARI: madihin;bamadihin;;v bermain madihin ;;;
TURUNAN DARI: madihin;pamadihinan;;n pemain madihin;;;
UTAMA;magin;;adv semakin:;;magin cangkal balajar, magin pintar;semakin rajin belajar, semakin pintar
UTAMA;magrib;;n Magrib;;;
TURUNAN DARI: magrib;bamagrib ;;melaksanakan salat Magrib;;;
UTAMA;magun;;adv masih;;magun ja balumba, banyu baah luku timbul buhaya;masih saja bermain air di sungai, air meluap, khawatirnya muncul buaya
UTAMA;makan;;makan;;;
TURUNAN DARI: makan;mamakan;;v memakan:;;kucing mamakan iwak;kucing memakan ikan
TURUNAN DARI: makan;mamakani;;v memakani;;abah memakani burungburungnya,;ayah memakani burungburungnya
TURUNAN DARI: makan;makanan;;"makanan; banyak makanan di atas mija, banyak makanan di atas meja";;;
TURUNAN DARI: makan;makanan;;makan: ayu kita makanan, ayo kita makan;;;
UTAMA;malaria;;n malaria ;;;
UTAMA;malati;;n melati ;;;
UTAMA;malim;;n malim;;;
UTAMA;maling;;n maling ;;;
TURUNAN DARI: maling;kamalingan;;kemalingan:;;rumahnya kamalingan malam tadi;rumahnya kemalingan tadi malam
UTAMA;mama;;"n mama; ibu";;;
UTAMA;mamagang;;v berpuasa di hari pertama bulan Ramadan;;;
UTAMA;mamah;;v kunyah;;;
TURUNAN DARI: mamah;mamamah;;mengunyah:;;nini kada bagigi lagi, ngalih mamamah jagung, ; nenek tidak punya gigi lagi, susah mengunyang jagung
TURUNAN DARI: mamah;tamamah;;v terkunyah (tidak sengaja dikunyah);;aku tamamah lombok pas makan acar, ;aku terkunyah cabai saat makan acar
UTAMA;mamai;;v omel ;;;
TURUNAN DARI: mamai;bamamai;;v mengomel:;;abah aur babamai haja, ;ayah selalu saja mengomel
TURUNAN DARI: mamai;pamamaian;; n pengomel, suka mengomel:;;inya tu pamamaian banar; ia itu sangat suka mengomel 
UTAMA;mamanda;;n mamanda;;;
TURUNAN DARI: mamanda;mamanda tubau;;kesenian mamanda yang berasal Desa Barikin di Hulu Sungai Tengah;;;
UTAMA;mamang;;n mantra;;;
TURUNAN DARI: mamang;bamamang;;v mengucapkan mantra;;;
UTAMA;mamarina;;n saudara ayah atau ibu;;;
UTAMA;marabahan;;marabahan ;;;
UTAMA;maraga;;karena;;: inya kada jadi tulak maraga hujan;ia tidak jadi berangkat karena hujan
UTAMA;maraha;;p biar:;;maraha tadudi asal tuntung;biar terlambat asal selesai
UTAMA;maram;;a mendung;;lakasi bulikan arinya, maram;cepat pulang harinya mendung
UTAMA;mesnes;;masinis, juru mesin (kapal);;jangan baparak mesnes kena takana gemok;jangan berdekatan masinis nanti terkena oli
UTAMA;mimpi;;mimpi;;;
TURUNAN DARI: mimpi;bamimpi;;bermimpi;;;
TURUNAN DARI: mimpi;tamimpi;;termimpi;;;
UTAMA;minak;;(BH) jinak;;;
UTAMA;minantu;;menantu;;;
UTAMA;mincu;;(BH) aneh;;;
UTAMA;minga;;iih menga;;;
UTAMA;mingar;;mengembang (untuk hidung);;mingar hidung dipuji;mengembang hidung mendapat pujian
UTAMA;minggu;;minggu;;;
UTAMA;mingsang;;sengau;;;
UTAMA;mining;;(BH) iih meneng;;;
UTAMA;miris;;bocor;;;
UTAMA;misa;;(BH) sebaiknya, seandainya;;;
UTAMA;misan;;nisa;;;
UTAMA;muha;;muka, wajah;;;
UTAMA;mulahar;;;;;
TURUNAN DARI: mulahar;kamulaharan;;terbiasa, kebiasaan;;sudah kamulahaan ngalihai;sudah terbiasa sulit memang
UTAMA;mulas;;mules;;;
UTAMA;mulia;;mulia;;;
UTAMA;naas;;naas, sial, nahas;;mambuang naas;membuang sial
UTAMA;nadar;;nazar;;;
TURUNAN DARI: nadar;banadar;;bernazar;;;
UTAMA;naga;;naga;;;
TURUNAN DARI: naga;naga runting;;nama keris pusaka;;;
UTAMA;nagara;;negara;;;
UTAMA;nah;;kata seru, mengawali pembicaraan, dsb ;;nah gugur am;wah jatuh
UTAMA;nahap;;mantap, pasti, meyakinkan;;mandangar pandernya rasa nahap ajapang;mendengar bicaranya rasa mantap saja
UTAMA;nahas;;Iih naas;;;
UTAMA;nahu;;(ilmu) nahu, ilmu tata bahasa;;;
UTAMA;nahuda;;(BH) nakhoda;;;
UTAMA;naik;;naik;;;
TURUNAN DARI: naik;banaik;ba.naik;"tambah naik; memanjat";;"haraga banaik; jangan banaik puhun nyiur";"harga tambah naik; jangan memanjat pohon kelapa"
TURUNAN DARI: naik;banaikan;;naik-naikan;;wayah banaikan kalas;musim naik-naikan kelas
TURUNAN DARI: naik;manaik;;menaiki, memetik;;manaik nyiur;menaiki (memetik) kelapa
TURUNAN DARI: naik;manaiki;;menaiki, mendaki, memanjat;;;
TURUNAN DARI: naik;manaikakan;;menaikkan;;;
TURUNAN DARI: naik;dinaiki;;dinaiki;;;
TURUNAN DARI: naik;dinaikakan;;dinaikkan;;;
TURUNAN DARI: naik;tanaik;;tambah naik, lebih naik;;rasanya tanaik;rasanya tambah naik
UTAMA;naini;;(BH) yang ini;;;
UTAMA;naip;;naib;;;
UTAMA;naitu;;(BH) yang itu;;;
TURUNAN DARI: naitu;naitu tadi;;tersebut;;sual naitu tadi isuk aja kita panderakan;soal tersebut besok saja kita bicarakan
UTAMA;najar;;Iih nadar;;;
UTAMA;najat;;mohon, minta;;;
TURUNAN DARI: najat;banajat;;bermohon;;;
TURUNAN DARI: najat;manajat;;memohon;;manajat kehadirat Tuhan;memohon kehadirat Tuhan
UTAMA;najis;;najis;;;
UTAMA;nak;;nak (panggilan terhadap anak);;;
UTAMA;nakal;;nakal;;;
UTAMA;nakat;;sulam;;;
TURUNAN DARI: nakat;manakat;;menyulam;;;
UTAMA;nampak;;tampak;;;
TURUNAN DARI: nampak;banampak;;memperlihatkan diri;;;
TURUNAN DARI: nampak;banampakkan ;;terang terangan;;;
TURUNAN DARI: nampak;nampak banar;;nyata benar;;;
UTAMA;nanah;;nanah;;;
UTAMA;nanang;;sebutan terhadap anak laki-laki;;;
UTAMA;nanar;;selalu;;bilang nanar malandau;boleh bilang selalu bangun kesiangan
UTAMA;nang;;yang;;nang ini;yang ini
TURUNAN DARI: nang;nangkaya;;seperti;;nangkaya siapa urangnya;seperti siapa orangnya
TURUNAN DARI: nang;nang apa;;apa;;nang apa garang?;apa gerangan?
TURUNAN DARI: nang;nang apang;;(BH) kenapa;;;
TURUNAN DARI: nang;nangkaya apa;;seperti apa, bagaimana;;nangkaya apa manggawi nangini;bagaimana mengerjakan yang ini
UTAMA;nangka;;nangka;;;
UTAMA;nani;;(BH) yang ini;;;
UTAMA;naning;;sejenis lebah, penyengat;;;
UTAMA;napa;;(BH) Iih apa;;;
UTAMA;napakah;;nafkah;;;
UTAMA;napang;;(BH) kenapa;;napang garang;kenapa gerangan 
UTAMA;napsu;;nafsu;;;
UTAMA;narai;;saja;;cah, ikam narai nang kada hakun;ah, kau saja yang tidak mau
UTAMA;naraka;;neraka;;;
UTAMA;naram;;betul;;naram, kada bagayaan ;betul, tidak main-main
UTAMA;nas;;hukum, kaidah, peraturan;;dusta ja, kadada nas nya nang itu;dusta saja, tidak ada hukumnya soal itu
UTAMA;nasehat;;nasihat;;;
UTAMA;nasi;;nasi;;;
UTAMA;nasi padapatan;;Iih nasi;;;
UTAMA;nasional;;nasional;;;
UTAMA;nasip;;nasib;;;
UTAMA;natal;;natal;;;
UTAMA;natu;;(BH) yang itu;;;
UTAMA;naung;;naung, terlindung;;dibawah puhun ni naung;dibawah pohon ini terlindung
TURUNAN DARI: naung;banaung;;bernaung;;;
TURUNAN DARI: naung;manaungakan;;menunggu sampai (hari) naung;;naung hari anyar kita bulikan;menunggu sampai hari naung baru kita pulang
UTAMA;naya;;(BK) ini;;nayakah, natukah;inikah, itukah
UTAMA;ne;;(singkatan dari ini) ini;;nyawa ne awak ja gonol ;kau ini badan saja besar
UTAMA;nejis;;(BK) najis;;;
UTAMA;nekat;;(BK) nekat;;;
TURUNAN DARI: nekat;banekat;;berniat, bertekad;;;
UTAMA;nelam;;(permata) nilam;;;
UTAMA;ngalih;;sulit, sukar;;ngalih banar;sulit sekali
TURUNAN DARI: ngalih;bangalih;;buang tenaga;;ayuja biar bangalih ambili sidin sakali lagi;ayolah biar buang tenaga jemput beliau sekali lagi
TURUNAN DARI: ngalih;mangalihi;;menyukarkan;;ikam ni mangalihi aku ja ;kau ini menyusahkan saya saja
UTAMA;ngalilu;;;;;
TURUNAN DARI: ngalilu;mangalilu;;pikun;;;
UTAMA;nganang;;(BH) kenapa;;;
UTAMA;nganga;;nganga, buka;;;
TURUNAN DARI: nganga;banganga;;menganga;;;
TURUNAN DARI: nganga;bangangaan;;dalam keadaan ternganga;;lawang bangangaan;pintu dalam keadaan ternganga
TURUNAN DARI: nganga;mengangaakan;;mengangakan;;;
TURUNAN DARI: nganga;tanganga;;ternganga, tercengang;;;
UTAMA;ngangal;;(BH) lelah, capek;;;
UTAMA;ngangar;;lengking (untuk tangis) ;;;
TURUNAN DARI: ngangar;mangangar;;melengking;;;
UTAMA;ngaran;;nama;;;
UTAMA;ngarau;;menangis meminta sesuatu;;;
UTAMA;ngaum;;aum;;ngaum singa lapar;aum singa lapar
UTAMA;ngayau;;ngayau;;;
UTAMA;ngero;;;;;
TURUNAN DARI: ngero;mangero;;menangis berguling-guling;;;
UTAMA;ngilu;;ngilu;;;
UTAMA;ngingil;;pegal;;;
UTAMA;nginging;;bunyi benda lewat yang kencang sekali misalnya angin, peluru, kendraan dan sebagainya;;;
UTAMA;ngini;;(BH) yang ini;;;
UTAMA;nginum;;Iih kinum;;;
TURUNAN DARI: nginum;nginuman;;jamu (yang telah bercampur air);;;
UTAMA;ngitu;;(BH) yang itu;;;
UTAMA;ngubrul;;(BH) ngobrol;;;
UTAMA;ni;;ini (singkatan);;;
UTAMA;nia;;(BH) ini;;;
UTAMA;niat;;niat;;;
UTAMA;nih;;ini;;;
UTAMA;nikah;;nikah, menikah;;aku handak nikah;aku hendak menikah
TURUNAN DARI: nikah;banikahan;;mengadakan pernikahan;;malam ni sidin banikahan;malam ini beliau mengadakan pernikahan
UTAMA;nila;;nila;;;
UTAMA;nini;;nenek;;;
TURUNAN DARI: nini;paninian ;;hubungan nenek dengan;;sidin paninianku;beliau hubungan nenek dengan saya
UTAMA;ninis;;;;;
TURUNAN DARI: ninis;baninisan ;;berair, berlelehan;;balangsai uyahni baninisan;bakul tempat garam ini berair
UTAMA;nipah;;nipah;;;
UTAMA;nipas;;nifas;;;
UTAMA;nipis;;tipis;;;
UTAMA;nisan;;nisan;;;
UTAMA;nitral;;(BH) netral;;;
UTAMA;nitu;;yang itu;;;
UTAMA;nol;;(BK) nol;;;
UTAMA;nomor;;(BK) nomor, angka;;"nomor satu; dapat nomor barapa bahitung";"nomor satu; mendapat angka berapa berhitung"
UTAMA;nonah;;nona;;;
UTAMA;nugaraha;;anugerah, berkat bantuan (Tuhan);;;
UTAMA;nujum;;nujum;;;
TURUNAN DARI: nujum;banujum;;minta nujumkan;;jangan banujum lawan sidin;jangan minta nujumkan dengan beliau
TURUNAN DARI: nujum;manujumi;;meramalkan, menujumkan;;;
UTAMA;nul;;(BH) nol;;;
UTAMA;numur;;(BH) nomor;n;pian duduk di kursi numur talu;Anda duduk di kursi nomor tiga
UTAMA;nunah;;(BH) nona;;;
UTAMA;nuri;;(burung) buri;;;
UTAMA;nusa;;tuangan untuk logam;;;
UTAMA;nya;klitik -nya;menyatakan milik, pelaku, atau penerima;;;
UTAMA;nyai;;nyai;;;
UTAMA;nyala;;n nyala;;;
TURUNAN DARI: nyala;banyala;;v bernyala:;;ilin di meja masih banyala, ;lilin di meja masih bernyala
TURUNAN DARI: nyala;manyala;;v menyala;;api manyala nyarak banar; api menyala besar sekali
TURUNAN DARI: nyala;manyalaakan;;menyalakan: ;;inya manyalaakan kumpur gasan bamasak,; ia menyalakan kompor untuk memasak
UTAMA;nyaman;;enak,  nyaman;a;masakannya nyaman banar;masakannya enak sekali
TURUNAN DARI: nyaman;banyaman;;"menjadi enak; bertambah enak:";;imbah nginum ubat banyaman awak;setelah minum obat bertambah enak badan
TURUNAN DARI: nyaman;manyamanakan;;membuat nyaman:;;limau ni manyamanakan masakan,;jeruk ini membuat nyaman masakan
UTAMA;nyamuk;;nyamuk;;;
UTAMA;nyanyat;;ketagihan, senang sekali;;limbah terasa lalu nyanyat ai;sesudah mencicipi lalu ketagihan
UTAMA;nyanyau;;kacau;;jangan dihaur kena nyanyau sidin maitung;jangan diganggu nanti kacau beliau menghitung
UTAMA;nyanyi;;nyanyi;;;
UTAMA;nyata;;nyata, terang, jelas;;;
TURUNAN DARI: nyata;banyataan;;terus terang;;banyataan ja kita nah;berterus terang saja kita ya
UTAMA;nyawa;;nyawa;;;
UTAMA;nyinyir;;Iih mumut;;;
TURUNAN DARI: nyinyir;nyinyiran;;banyak mulut (sifat orang yang sudah tua);;;
UTAMA;nyiru;;nyiru;;;
TURUNAN DARI: nyiru;nyiru jarang;;nyiru yang berlobang-lobang ditengahnya khusus untuk memisahkan beras dengan padinya;;;
UTAMA;nyiur;;kelapa;;;
UTAMA;nyunyah;;(BH) nyonya;;;
UTAMA;nyunyuk;;keliru, kacau;;nyunyuk maitung;keliru (kacau) menghitung
UTAMA;nyunyut;;Iih nyinyir;;;
UTAMA;obah;;(BK) ubah;;;
TURUNAN DARI: obah;baobah;;berubah;;;
TURUNAN DARI: obah;maobah;;merubah, mengubah;;;
UTAMA;obat;;obat;;;
UTAMA;obeng;;obeng;;;
UTAMA;obor;;obor;;;
UTAMA;obral;;obral;;;
UTAMA;odol;;odol;;;
UTAMA;odor;;(BK) uzur, lemah (karna tua);;;
TURUNAN DARI: odor;baodor;;tambah uzur;;makin tuha makin baodor;makin tua makin tambah uzur
TURUNAN DARI: odor;baodor;;dalam keadaan uzur;;sakali maka baodor aja aku dulu;sekali ini maka dalam keadaan uzur saya dulu
UTAMA;ogor;;bertaruh (untuk selama permainan berlangsung, misalnya bermain domino dengan taruhan seratus rupiah tiap kali main untuk sekian lama bermain);;;
TURUNAN DARI: ogor;ogoran ;;taruhan;;;
UTAMA;ojor;;(BK) Iih odor;;;
UTAMA;oko;;(BK) oko;;;
TURUNAN DARI: oko;baoko;;meraban (untuk bayi);;anakku sudah bisa baoko;anakku sudah pandai meraban
UTAMA;olah;;(BK) buat;;;
TURUNAN DARI: olah;baolah;;membuat;;baolah wadai;membuat kue
TURUNAN DARI: olah;maolah;;membuat;;;
TURUNAN DARI: olah;diolah;;dibuat, dikerjakan;;apa diolah toh;apa dikerjakan tuh
TURUNAN DARI: olah;olahan;;kerjaan ;;kadada olahan;tak ada kerjaan 
UTAMA;oleh;;Iih koleh;;;
UTAMA;omeh;;(BK) cerewet (dalam tawar menawar);;;
TURUNAN DARI: omeh;omehan ;;(bersifat) cerewet;;;
UTAMA;oncom;;oncom;;;
UTAMA;onde;;;;;
TURUNAN DARI: onde;onde-onde;;onde-onde;;;
UTAMA;ongkoh;;tauke, babah, ngkoh;;;
UTAMA;ongkos;;ongkos;;;
UTAMA;onta;;onta;;;
UTAMA;opor;;(masakan) opor;;;
TURUNAN DARI: opor;baoporan ;;;saling mengoper;;
UTAMA;oprasi;;operasi;;;
UTAMA;orkes;;orkes;;;
UTAMA;pandapat;;pendapat;;;
UTAMA;patah;; a  patah:;; patah  kayunya Ikam jajak,;patah kayunya kamu  injak
TURUNAN DARI: patah;mamatah ;; v  mematah  ;;;
UTAMA;patak;; v  kubur:;; patak  kucing nang mati  ngitu,;kubur kucing  yang mati itu  
UTAMA;patir;;n  petir;;;
UTAMA;patuk;;" n  patuk;";;paruh:  ganalnya patuk  burung ngitu, ;besarnya paruh  burung itu  
TURUNAN DARI: patuk;mamatuk;; v  mematuk;;papuyu mamatuk  umpan;ikan betok  mematuk umpan
TURUNAN DARI: patuk;mamatuki  ;;v  mematuki: ;;ayam mamatuki  baras;ayam  mematuki beras
TURUNAN DARI: patuk;tapatuk ;; v  terpatuk: ;;batis tapatuk ular;kaki terpatuk ular
UTAMA;paung;;n  benih;;;
UTAMA;paus;;;;;
TURUNAN DARI: paus; mamaus;;mengesang  (membuang ingus  dengan memijit  hidung):;;mamaus  ingus,;membuang  ingus  
UTAMA;payu;;a  laku:;;payu banar  ikam bajualan;laku  sekali kamu  berjualan  
TURUNAN DARI: payu;kapayuan;; a  terlalu  laku:;;kapayuan ikam  bajualan,;terlalu laku  kamu berjualan 
UTAMA;pender;; bicara;; jangan  banyak pender;jangan banyak bicara
TURUNAN DARI: pender;bapender;;berbicara;;inya lagi bapender  lawan kawannya; ia  sedang berbicara  dengan temannya
UTAMA;pian;;pron  Anda (sapaan  untuk orang yang  lebih tua atau orang  yang dihormati):;;pian mancari siapa?;Anda mencari siapa? 
TURUNAN DARI: pian;bapian;; menyapa  dengan sebutan pian;;;
UTAMA;picak;;buta;;;
UTAMA;picik;;pencet  ;;;
TURUNAN DARI: picik;mamicik;;memencet ;;;
UTAMA;rabah;;jatuh;;sapidanya  rabah ka kiwa,;sepedanya rebah ke  kiri 
TURUNAN DARI: rabah;barabah;; berbaring:   ;;aku handak barabah  satumat, uyuh banar  awakku,; aku mau  berbaring sebentar,  letih sekali badanku
TURUNAN DARI: rabah;barabahan ;;pada  berbaring:;;buhannya  barabahan di lantai, ;mereka pada  berbaring di lantai
TURUNAN DARI: rabah;karabahan;;kejatuhan;;batisku  sakit karabahan  sapida,; kakiku sakit  kejatuha sepeda
UTAMA;rabit;;a  sobek;; salawar  rabit lakas dijahit,;celana sobek segera  dijahit
TURUNAN DARI: rabit;barabit;;sudah  disobek;;nasi  bungkus nang  ujungnya barabit  ngitu iwaknya intalu,;bungkus nasi yang  bagian ujungnya  sudah disobek itu  lauknya telur
TURUNAN DARI: rabit;marabit;;menyobek:;;inya marabit kartas  gasan diolah mainan, ;ia menyobek kertas  untuk dibuat mainan
TURUNAN DARI: rabit;tarabit  ;; tersobek;;;
UTAMA;rabuk;;hancur  ;;;
TURUNAN DARI: rabuk;iwak rabuk;;abon;;;
UTAMA;rabut;;rebut ;;;
UTAMA;racik;;" potong tipis; racik;  iris";;racik janar wan  tipakan ngitu hanyar  randam di banyu  panas,; iris kunyit dan  jahe itu lalu rendam  di air panas
UTAMA;ragap;;peluk;;;
UTAMA;rumbai;;rumbai;;;
UTAMA;rumbih;;longsong;;;
UTAMA;rumbuk;;;;;
UTAMA;sa;;se- (bentuk terikat);;;
UTAMA;sabak;;berantakan;a;kamarnya sabak banar;kamarnya berantakan sekali
TURUNAN DARI: sabak;basabak;;dibuat berantakan;v;jangan basabak lagi, kamarnya sudah kusimpuni;jangan dibuat berantakan kembali, kamarnya sudah kurapikan
TURUNAN DARI: sabak;basabak;;menjadi berantakan;v;rumah basabak imbah kutinggalakan;rumah menjadi berantakan setelah kutinggalkan 
UTAMA;saban;;tiap;num;saban hari inya ka rumahku;tiap hari ia ke rumahku
UTAMA;sabar;;sabar;a;aku kada sabar handak lakas bulik;aku tidak sabar ingin lekas pulang
TURUNAN DARI: sabar;basabar;;bersabar;v;amun ada masalah, bawa basabar;jika ada masalah, bersabar
UTAMA;sabat;;"semak; belukar;";n;;
TURUNAN DARI: sabat;basabat;;menjadi bersemak, tambah bersemak;v;halaman rumahnya basabat imbah lawas ditinggalakan;halaman rumahnya menjadi bersemak setelah lama ditinggalkan
TURUNAN DARI: sabat;panyabatnya;;paling banyak semaknya;a;halaman rumahnya panyabatnya dibanding halaman rumah nang lain,;halaman rumahnya paling banyak semaknya dibanding rumah lainnya
TURUNAN DARI: sabat;singsabatan;;sangat rimbun dipenuhi semak;a;kumpai balakang rumah singsabatan;rumput di belakang rumah sangat rimbun dipenuhi semak
UTAMA;sablokan;;kukusan ;n;;
UTAMA;sabtu;;sabtu;n;;
UTAMA;sabuk;;sabuk;n;;
TURUNAN DARI: sabuk;basabuk ;;bersabuk:;v;lalakian basabuk hijau ngitu amangku;lelaki bersabuk hijau itu pamanku
UTAMA;sabun;;sabun;n;ambilakan sabun di atas mija;ambilkan sabun di atas meja
TURUNAN DARI: sabun;basabun;;bersabun;v;amun mandi jangan kada basabun;kalau mandi jangan sampai tidak bersabun
TURUNAN DARI: sabun;manyabuni;;menyabuni ;v;;
TURUNAN DARI: sabun;manyabuniakan;;menyabunkan:;v;uma manyabuniakan tangan ading; ibu menyabunkan tangan adik
UTAMA;sabut;;sabut;n;;
UTAMA;sadai;;keringkan;v;;
TURUNAN DARI: sadai;manyadai;;mengeringkan;v;;
UTAMA;sadak;;sedak ;;;
TURUNAN DARI: sadak;kasadakan;;"kesedakan; tersedak:";v;habang muhanya marga kasadakan;mukanya merah karena tersedak
UTAMA;sadakah;;sedekah ;n;;
TURUNAN DARI: sadakah;basadakah;;bersedekah;v; sidin basadakah gasan panti asuhan;beliau bersedekah untuk panti asuhan
UTAMA;sadar;;sadar;v;urang nang siup tadi sudah sadar;orang yang pingsan tadi sudah sadar
UTAMA;sadarhana;;sederhana:;a;inya tatap sadarhana bujur urang sugih;ia tetap sederhana walaupun orang kaya
UTAMA;sadi;;"siap; sedia";v;makanan sudah sadi di mija;makanan sudah siap di meja
UTAMA;sapeda;;sepeda ;;;
UTAMA;sapida;;sepeda;;;
